filename,true,predicted,probabilities
/content/dataset grape disease/ESCA/27d377ed-a7fb-4f44-bdd7-bd638c79bf9b___FAM_B.Msls 4271_flipLR.JPG,2,2,"[8.71685129676461e-14, 3.133842983515933e-05, 0.9999686479568481, 1.0733978983434866e-10]"
/content/dataset grape disease/ESCA/e59939f2-c194-4144-a115-8cd230cc6a93___FAM_B.Msls 4162.JPG,2,2,"[1.0562111185663525e-08, 4.655029897548957e-06, 0.999958872795105, 3.647294215625152e-05]"
/content/dataset grape disease/ESCA/65d87861-592e-4bfb-bfa6-67374084a8eb___FAM_B.Msls 1281_flipLR.JPG,2,2,"[7.146190648781026e-13, 9.155937163995986e-07, 0.9999990463256836, 2.0099748532231843e-09]"
/content/dataset grape disease/Healthy/862c537a-d751-47bd-9c2c-385f7e9a9e97___Mt.N.V_HL 6054_new30degFlipLR.JPG,0,0,"[1.0, 1.063439171486815e-15, 1.3807102061333138e-14, 4.920818960640894e-12]"
/content/dataset grape disease/ESCA/150f8388-ec74-4c45-b838-40cc20b9305d___FAM_B.Msls 3985.JPG,2,2,"[8.709420933168883e-16, 7.371830368363419e-10, 1.0, 8.569375244127375e-12]"
/content/dataset grape disease/Leaf Blight/ecf52a0a-9f08-4a06-8718-844e61ba3628___FAM_L.Blight 1688_flipLR.JPG,3,3,"[1.9849953503126017e-07, 8.349701374754659e-09, 7.10020375827014e-10, 0.9999997615814209]"
/content/dataset grape disease/Healthy/d232a29e-e702-4b4e-b568-f022ffd375c4___Mt.N.V_HL 6158.JPG,0,0,"[1.0, 1.761587320459057e-08, 1.374758362704398e-10, 1.1021350498907623e-09]"
/content/dataset grape disease/Healthy/1180dbb8-4509-4f56-a5f6-15ceac163ff9___Mt.N.V_HL 8928_180deg.JPG,0,0,"[0.9999716281890869, 2.7170237444806844e-05, 1.8908785648363846e-07, 1.0167159416596405e-06]"
/content/dataset grape disease/Healthy/f02b5708-2cf8-4cee-9a45-10cbf493b2d5___Mt.N.V_HL 9023_180deg.JPG,0,0,"[1.0, 2.3281288008547563e-10, 2.982464969436549e-12, 3.58873282653438e-12]"
/content/dataset grape disease/Leaf Blight/581d1b61-8c59-4470-9985-6f4d53750aca___FAM_L.Blight 1398.JPG,3,3,"[4.635037631484096e-10, 9.391825511739782e-11, 1.4440791444580992e-11, 1.0]"
